start_date,summary,latitude,longitude,marker_color
7/1/08,"As reported on July 1st, 2008, a Ugandan LRA fighter who had been in the bush for 11 years defected in Bunia, DRC, 12 days after escaping from Bitima, DRC.",1.5724,30.2493,#2563A3
3/29/09,"As reported on April 4th, 2 LRA escapees - 1 Sudanese and 1 CAR national - were brought to Bunia by security forces during the previous week.",1.5724,30.2493,#2563A3
11/1/09,"2 foreign NGO workers were abducted by LRA forces from Birao, CAR, during the month of November in 2009.",10.29343,22.78245,#2563A3
10/10/10,"LRA forces attacked the town of Birao, CAR, abducting 23 people, including 5 children, and looted the main market.",10.29343,22.78245,#2563A3
10/11/10,"Over the week of October 11th to October 17th, another rebel group pursued the LRA forces who had recently attacked Birao, CAR. 21 of the 23 people originally abducted were able to escape, including 5 abducted children.",10.29343,22.78245,#2563A3
3/14/10,"2 foreign NGO workers who were abducted by LRA forces from Birao, CAR, during the month of November in 2009 were released on March 14, 2010, in an unknown location in Darfur, Sudan.",11.3,24.18,#2563A3
9/23/08,"Between September 23rd-25th, 2008, an estimated 200 LRA forces with women & children were sighted crossing Aungba, DRC, entering the nearby forest, where they spent one week, before moving north to Kerekere, DRC. The GPS coordinates are a rough estimate.",2.5426,30.5287,#2563A3
12/23/95,"LRA abducted a 12-year-old boy from Omel in Gulu District, Uganda, while he was walking home from fishing.",2.883,32.583,#2563A3
8/7/09,"Seucirty forces engaged the LRA on August 7th, 2009 in Vonga, DRC.",2.9016,27.5173,#2563A3
8/7/09,"LRA forces attacked part of Vonga, DRC, on August 7th, 2009. 2 women were abducted and 1 child was found abandoned.",2.9016,27.5173,#2563A3
4/3/10,"An LRA group was sighted near Ariwara Moke, DRC.",2.9856,29.3307,#2563A3
9/17/09,"A van travelling near Watsa, DRC was looted by suspected LRA on September 17th, 2009. It is unclear what goods were taken. No casualties were reported.",3.009,29.433,#2563A3
9/12/09,"1 child escaped LRA captivity and reported to security forces near Watsa, DRC.",3.02876,29.52541,#2563A3
3/28/10,"2 LRA abducted abducted 2 fishermen and stole 2 canoes at the community of Ligbombi, DRC, on March 28th, 2010.",3.0438,29.4317,#2563A3
1/16/09,"This is part of the Christmas Massacres. LRA forces attacked Tora, DRC, killing as many as 100 people.",3.05,29.533,#2563A3
9/20/09,"LRA forces attacked Durba, DRC, on September 20th, 2009. 20 people were abducted and a number of houses were looted. This was a part of a string of attacks additionally through Galaylu, Lindi, Lukulu and Sururu but there are no further details.",3.10238,29.58241,#2563A3
7/20/10,"Security forces, escorting civilians near Durba, DRC, were attacked by LRA forces.",3.10238,29.58241,#2563A3
9/30/09,"On September 30, 2009 at Ariwara, DRC, a young boy returned who had escaped from LRA captivity. He had been abducted a couple months earlier.",3.1359,30.6999,#2563A3
6/19/09,"Security forces clashed with members of the LRA at Poko, DRC on June 19th, 2009. It was reported that 2 LRA members were killed and 15 civilians were rescued from captivity.",3.1381,26.8942,#2563A3
7/3/10,"Security forces captured 1 Ugandan LRA member near the community of Gatanga, DRC.",3.15676,29.63463,#2563A3
7/25/11,"LRA forces abducted a 17-year-old girl from Doko, DRC.",3.19509,29.59155,#2563A3
2/1/10,"The LRA went on a killing spree through Munuku, DRC, and the surrounding communities between February 1 to 13, 2010.  At least 74 civilians were killed and 75 abducted.  Of those killed, at least 14 were children and 15 were elderly.",3.251,27.894,#2563A3
7/20/94,"LRA forces abducted 1 boy from Panyoro, Uganda, on the afternoon of July 7, 1994. A few hours later, the same group abducted another boy a few kilometers away from Panyoro.",3.274,31.719,#2563A3
4/19/10,"Security forces arrested 2 LRA elements in Lwabi, DRC on April 19th, 2010.",3.329,29.6384,#2563A3
1/22/12,"Suspected LRA attacked and looted Mangwa, DRC. The combatants reportedly abducted 6 children and injured a woman.",3.3666667,28.4833333,#2563A3
12/14/12,"6 suspected and armed LRA men attacked Sirigi, DRC, and abducted 4 Congolese men and a 12-year-old child. The assailants also looted, cassava flour, paddy, beer, clothes, and other goods. Civilians fled toward Tomati, DRC.",3.3753,29.5506,#2563A3
2/9/13,"On February 9th, 2013, suspected LRA forces ambushed 3 men on bikes in the area of Sirigi, DRC, and looted their possessions.",3.3753,29.5506,#2563A3
2/11/13,"On February 11th, 2013, 4 men and 3 women suspected LRA forces looted food and non-food items in Sirigi, DRC.",3.3753,29.5506,#2563A3
2/16/13,"On February 16th, 2013, suspected LRA forces looted a civilian on a bike around Sirigi, DRC.",3.3753,29.5506,#2563A3
12/15/09,"LRA forces killed 10 civilians at Nakiliwa, DRC on December 15th, 2009. The incident was reported as a significant distance west of the Makombo Massacres, however there are still questions surrounding the incident.",3.3877,27.2863,#2563A3
3/17/12,"Armed LRA forces killed 1 man and abducted 2 boys and 1 girl from the Garantie quarter near Tomati, DRC. The combatants also looted 9 houses in the attack.",3.3924,29.5956,#2563A3
