start_date,latitude,longitude,num_returnees,marker_color,marker_radius
6-Dec-13,5.0816,24.9588,6,#2563A3,24
26-Apr-13,5.3948,26.49259,4,#2563A3,16
10-Apr-13,5.02412,24.24113,3,#2563A3,12
20-Feb-13,4.99573,23.87192,1,#2563A3,4
27-Apr-13,3.7186,29.5345,1,#2563A3,4
18-May-13,4.19,29.34,1,#2563A3,4
21-Aug-13,3.72723,29.70978,1,#2563A3,4
10-Jan-14,6.0411,25.3138,1,#4B4B4B,4
9-Feb-14,5.3817,25.9513,1,#4B4B4B,4
21-Feb-14,5.984,24.206,1,#4B4B4B,4
10-Mar-14,6.137611,22.864256,1,#4B4B4B,4
30-Mar-14,6.137611,22.864256,1,#4B4B4B,4
